Date,Open,High,Low,Close,Adj Close,Volume,company_name,symbol
2024-01-02,102.25,102.62000274658203,100.58999633789062,101.52999877929688,99.7242202758789,9020900,Taiwan Semiconductor,TSM
2024-01-03,100.33999633789062,101.25,99.66000366210938,100.16999816894531,98.3884048461914,6650600,Taiwan Semiconductor,TSM
2024-01-04,99.52999877929688,100.44000244140625,99.12000274658203,99.12999725341797,97.36690521240234,7996700,Taiwan Semiconductor,TSM
2024-01-05,99.0,100.63999938964844,98.80000305175781,99.61000061035156,97.83837127685547,7344900,Taiwan Semiconductor,TSM
2024-01-08,100.62999725341797,102.79000091552734,100.5,102.23999786376953,100.42158508300781,12455600,Taiwan Semiconductor,TSM
2024-01-09,101.05000305175781,101.97000122070312,100.20999908447266,101.88999938964844,100.07781982421875,7764000,Taiwan Semiconductor,TSM
2024-01-10,102.5199966430664,102.77999877929688,99.9800033569336,100.80000305175781,99.0072021484375,6975700,Taiwan Semiconductor,TSM
2024-01-11,101.69999694824219,102.16000366210938,99.98999786376953,101.22000122070312,99.41974639892578,7862700,Taiwan Semiconductor,TSM
2024-01-12,100.88999938964844,102.37999725341797,100.87000274658203,101.23999786376953,99.43936920166016,6514000,Taiwan Semiconductor,TSM
2024-01-16,100.52999877929688,102.3499984741211,100.19999694824219,101.66999816894531,99.86173248291016,11185500,Taiwan Semiconductor,TSM
2024-01-17,100.87000274658203,103.33000183105469,100.0,102.94999694824219,101.11896514892578,17649500,Taiwan Semiconductor,TSM
2024-01-18,111.19999694824219,113.38999938964844,109.4800033569336,113.02999877929688,111.01968383789062,58783700,Taiwan Semiconductor,TSM
2024-01-19,113.22000122070312,115.1500015258789,111.0199966430664,114.19999694824219,112.16887664794922,37737300,Taiwan Semiconductor,TSM
2024-01-22,114.77999877929688,115.0999984741211,112.5199966430664,113.02999877929688,111.01968383789062,17755500,Taiwan Semiconductor,TSM
2024-01-23,113.5199966430664,114.62000274658203,113.16000366210938,114.12999725341797,112.10011291503906,11667900,Taiwan Semiconductor,TSM
2024-01-24,115.33000183105469,118.8499984741211,114.61000061035156,116.5199966430664,114.44761657714844,21859200,Taiwan Semiconductor,TSM
2024-01-25,118.0199966430664,118.83999633789062,116.4800033569336,116.55999755859375,114.48690032958984,15485300,Taiwan Semiconductor,TSM
2024-01-26,116.9000015258789,118.04000091552734,116.30000305175781,117.26000213623047,115.17445373535156,10196400,Taiwan Semiconductor,TSM
2024-01-29,117.16999816894531,117.87000274658203,115.76000213623047,116.9800033569336,114.89944458007812,10042200,Taiwan Semiconductor,TSM
